id,name,Architecture,Boost_Clock,Core_Speed,Memory,Memory_Speed,Memory_Bandwidth,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory_Bus,Memory_Type,Power_Connector,Process,Resolution_WxH,SLI_Crossfire,price,url_name,img_of_gpu
1,Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,GCN 1.1 Oland XT + Kaveri ,1100,1050,3072,900 MHz,57.6GB/sec,1,Yes,DX 12.0,1,No,2304KB(x2),AMD,150 Watts,128 Bit ,DDR3,None ,28nm,2560x1600,Yes,,,
2,GeForce GTX Titan Zotac Edition,Kepler GK110-400-A1 ,876,837,6144,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
3,GeForce GTX Titan Z Palit 12GB Edition,Kepler GK110-430-B1 (x2) ,876,705,12288,1750 MHz,672GB/sec,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,375 Watts,384 Bit ,GDDR5,2x 8-pin ,28nm,4096x2160,Yes,,,
4,GeForce GTX Titan Z,Kepler GK110-430-B1 (x2) ,876,705,12288,1750 MHz,672GB/sec,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,375 Watts,384 Bit ,GDDR5,2x 8-pin ,28nm,4096x2160,Yes,,,
5,GeForce GTX Titan X EVGA Hybrid 12GB Edition,Maxwell GM200-400-A1 ,1252,1140,12288,1753 MHz,336.6GB/sec,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
6,GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI,Maxwell GM200-400-A1 (x2) ,1216,1127,24576,1753 MHz,673.2GB/sec,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
7,GeForce GTX Titan Zotac AMP! Edition,Kepler GK110-400-A1 ,954,902,6144,1652 MHz,317.2GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
8,GeForce GTX Titan X SLI,Maxwell GM200-400-A1 (x2) ,1089,1000,24576,1753 MHz,673.2GB/sec,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,450 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
9,GeForce GTX Titan X,Maxwell GM200-400-A1 ,1089,1000,12288,1753 MHz,336.6GB/sec,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
10,GeForce GTX Titan X EVGA Superclocked 12GB Edition,Maxwell GM200-400-A1 ,1216,1127,12288,1753 MHz,336.6GB/sec,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
